Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
40,1,0.4082,1,1,1,1,1,1,0.4803,0.4082,0.1003,1,0.3182,1,1,1,1,1,1,0.3692,0.3182,0.1301,1,0.6491,1,1,0.3908,0.6491,0,1,1,1,1,1,0.617654681,0.230477333,0.91214627,0.633820686
41,1,0.4081,1,1,1,1,1,1,0.3576,0.4081,0,1,0.3182,1,1,1,1,1,1,0.2805,0.3182,0,1,0.6492,1,1,0.2995,0.6492,0,1,1,1,1,1,0.432098866,0,0.639367938,0.688798937
42,1,0.408,1,1,1,1,1,1,0.2938,0.408,0,1,0.3182,1,1,1,1,1,1,0.1947,0.3182,0,1,0.6493,1,1,0.3621,0.6493,0,1,1,1,1,1,0.304841578,0,0.511902213,0.682757371
43,1,0.4078,1,1,1,1,1,1,0.1823,0.4078,0,1,0.3182,1,1,1,1,1,1,0.0487,0.3182,0,1,0.6494,1,1,0.3461,0.6494,0,1,1,1,1,1,0.190144315,0,0.272218019,0.666263896
44,1,0.4077,1,1,1,1,1,1,0.3251,0.4077,0,1,0.3182,1,1,1,1,1,1,0.1325,0.3182,0,1,0.6495,1,1,0.434,0.6495,0,1,1,1,1,1,0.361776382,0,0.275240481,0.639318511
45,1,0.4076,1,1,1,1,1,1,0.3995,0.4076,0,1,0.3182,1,1,1,1,1,1,0.1941,0.3182,0,1,0.6496,1,1,0.3591,0.6496,0,1,1,1,1,1,0.456682593,0,0.350170732,0.596967134
46,1,0.4074,1,1,1,1,1,1,0.3288,0.4074,0,1,0.3182,1,1,1,1,1,1,0.1941,0.3182,0,1,0.6497,1,1,0.299,0.6497,0,1,1,1,1,1,0.342495501,0,0.389028907,0.544345094
47,1,0.4073,1,1,1,1,1,1,0.3197,0.4073,0,1,0.3182,1,1,1,1,1,1,0.2426,0.3182,0,1,0.6498,1,1,0.3381,0.6498,0,1,1,1,1,1,0.306501925,0,0.503914595,0.496737554
48,1,0.4072,1,1,1,1,1,1,0.2969,0.4072,0,1,0.3182,1,1,1,1,1,1,0.2357,0.3182,0,1,0.6499,1,1,0.3664,0.6499,0,1,1,1,1,1,0.32572329,0,0.24414511,0.465140164
49,1,0.407,1,1,1,1,1,1,0.224,0.407,0,1,0.3182,1,1,1,1,1,1,0.2982,0.3182,0,1,0.65,1,1,0.2414,0.65,0,1,1,1,1,1,0.208208695,0,0.1234212,0.449371677
